Player,Nation,Pos,Squad,Comp,Age,Born,90s,Gls,Sh_df8,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK_x,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches_x,Cmp_x,Att_x,Cmp%,TotDist_df10,PrgDist_df10,Cmp_x,Att_x,Cmp%,Cmp_x,Att_x,Cmp%,Cmp_x,Att_x,Cmp%,Ast,xAG,xA,A-xAG,KP,1/3_df10,PPA,CrsPA,PrgP,Matches_y,Att_y,Live_df10,Dead,FK_y,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp_y,Off,Blocksdf9,Matches_df8,SCA,SCA90,PassLive,PassDead,TO,Sh_df4,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh_df4,Fld,Def,Matches_df4,Tkl,TklW,Def 3rd_df10,Mid 3rd_df10,Att 3rd_df10,Tkl,Att_df10,Tkl%,Lost,Blocks_df5,Sh,Pass,Int,Tkl+Int,Clr,Err,Matches_df10,Touches,Def Pen,Def 3rd_df6,Mid 3rd_df6,Att 3rd_df6,Att Pen,Live_df6,Att_df6,Succ,Succ%,Tkld,Tkld%,Carries,TotDist_df6,PrgDist_df6,PrgC,1/3_df6,CPA,Mis,Dis,Rec,PrgR,Matches_df6
David Raum,de GER,DF,RB Leipzig,de Bundesliga,25,1998,30.4,2,14,4,28.6,0.46,0.13,0.14,0.5,20.3,4,0,0,0.8,0.8,0.05,1.2,1.2,Matches,1566,2154,72.7,28030,10264,680,769,88.4,697,906,76.9,162,371,43.7,8,7.3,10.7,0.7,68,92,62,34,131,Matches,2154,1675,469,63,2,11,306,277,129,46,54,2,1566,10,61,Matches,101,3.32,58,35,6,1,1,0,13,0.43,5,6,2,0,0,0,Matches,58,35,24,29,5,34,58,58.6,24,51,9,42,27,85,82,2,Matches,2442,88,653,1002,807,45,2442,32,18,56.3,13,40.6,1223,5411,2900,77,44,15,33,15,1474,246,Matches
David Raya,es ESP,GK,Arsenal,eng Premier League,27,1995,32,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches,800,1068,74.9,19691,14108,228,231,98.7,387,391,99,183,439,41.7,0,0,0.1,0,0,30,0,0,2,Matches,1068,898,167,71,0,1,0,0,0,0,0,0,800,3,2,Matches,4,0.12,3,1,0,0,0,0,0,0,0,0,0,0,0,0,Matches,1,1,1,0,0,1,1,100,0,0,0,0,0,1,8,5,Matches,1099,764,1060,39,0,0,1099,0,0,,0,,728,3442,1992,0,0,0,1,0,637,0,Matches
David Soria,es ESP,GK,Getafe,es La Liga,30,1993,37.9,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches,687,1295,53.1,27570,24122,41,42,97.6,233,242,96.3,412,1004,41,0,0,0.1,0,0,44,1,0,0,Matches,1295,781,508,198,0,9,0,0,0,0,0,0,687,6,0,Matches,10,0.26,4,6,0,0,0,0,0,0,0,0,0,0,0,0,Matches,0,0,0,0,0,0,2,0,2,0,0,0,0,0,21,6,Matches,1393,1099,1386,7,0,0,1393,0,0,,0,,636,3979,2528,0,1,1,4,0,418,0,Matches
David Zima,cz CZE,DF,Torino,it Serie A,22,2000,1,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches,36,43,83.7,679,120,10,11,90.9,23,26,88.5,2,5,40,0,0,0,0,0,0,0,0,1,Matches,43,43,0,0,0,0,0,0,0,0,0,0,36,0,0,Matches,1,0.99,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Matches,1,1,1,0,0,0,0,,0,0,0,0,3,4,7,0,Matches,58,7,32,26,0,0,58,0,0,,0,,22,102,59,1,0,0,1,1,29,0,Matches
Davide Bartesaghi,it ITA,"DF,MF",Milan,it Serie A,17,2005,0.9,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches,28,35,80,493,221,10,11,90.9,15,16,93.8,3,6,50,0,0,0,0,0,1,0,0,3,Matches,35,28,7,0,0,0,0,7,0,0,0,0,28,0,2,Matches,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,2,0,1,1,0,2,4,50,2,1,1,0,0,2,7,0,Matches,51,8,25,18,8,0,51,1,0,0,1,100,23,157,53,1,3,0,1,2,29,4,Matches
Davide Bettella,it ITA,MF,Monza,it Serie A,23,2000,0,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches,3,5,60,55,0,1,1,100,2,3,66.7,0,0,,0,0,0,0,0,0,0,0,0,Matches,5,5,0,0,0,0,0,0,0,0,0,0,3,0,0,Matches,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches,5,0,2,2,1,0,5,0,0,,0,,3,7,0,0,0,0,0,1,4,0,Matches
Davide Biraschi,it ITA,DF,Genoa,it Serie A,29,1994,1,1,1,1,100,1,1,1,1,9.6,0,0,0,0.1,0.1,0.1,0.9,0.9,Matches,31,37,83.8,684,308,6,7,85.7,18,21,85.7,7,9,77.8,0,0,0,0,0,2,1,0,5,Matches,37,28,9,2,0,0,0,7,0,0,0,0,31,0,0,Matches,1,1,0,0,1,0,0,0,1,1,0,0,1,0,0,0,Matches,3,3,1,2,0,1,3,33.3,2,0,0,0,2,5,5,0,Matches,48,5,20,21,7,1,48,1,1,100,0,0,19,76,46,0,2,0,0,0,21,4,Matches
Davide Calabria,it ITA,DF,Milan,it Serie A,26,1996,24.3,1,21,8,38.1,0.86,0.33,0.05,0.13,18.3,0,0,0,1.3,1.3,0.06,-0.3,-0.3,Matches,1320,1541,85.7,22285,6489,601,661,90.9,612,690,88.7,89,151,58.9,3,1.2,1.6,1.8,12,104,23,12,140,Matches,1541,1292,245,43,1,5,36,202,0,0,0,0,1320,4,13,Matches,34,1.4,32,0,0,0,1,1,6,0.25,6,0,0,0,0,0,Matches,70,38,38,25,7,44,72,61.1,28,26,7,19,24,94,49,1,Matches,1784,74,512,953,325,26,1784,20,6,30,14,70,932,4458,2474,31,31,2,19,9,1135,66,Matches
Davide Faraoni,it ITA,DF,Fiorentina,it Serie A,31,1991,4.4,0,3,1,33.3,0.69,0.23,0,0,18.5,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches,190,248,76.6,3451,1097,70,79,88.6,94,117,80.3,21,37,56.8,1,0.4,0.6,0.6,4,15,5,4,17,Matches,248,200,47,5,1,0,17,41,1,0,1,0,190,1,7,Matches,8,1.84,7,0,0,1,0,0,1,0.23,1,0,0,0,0,0,Matches,9,4,5,2,2,5,11,45.5,6,3,1,2,5,14,14,0,Matches,298,15,72,153,73,4,298,4,1,25,3,75,159,842,408,7,1,1,4,2,176,16,Matches
Davide Faraoni,it ITA,DF,Hellas Verona,it Serie A,31,1991,6.7,0,7,1,14.3,1.05,0.15,0,0,17,0,0,0,0.4,0.4,0.06,-0.4,-0.4,Matches,228,304,75,4121,1808,103,119,86.6,80,102,78.4,36,62,58.1,1,0.4,0.3,0.6,8,28,6,2,28,Matches,304,235,65,4,1,4,19,59,2,0,1,0,228,4,6,Matches,21,3.13,14,5,0,0,1,1,2,0.3,2,0,0,0,0,0,Matches,13,10,5,6,2,7,10,70,3,9,5,4,6,19,21,0,Matches,386,20,94,194,102,12,386,7,3,42.9,4,57.1,190,782,400,13,8,1,14,2,211,31,Matches
Davide Frattesi,it ITA,MF,Inter,it Serie A,23,1999,10.6,6,32,13,40.6,3.02,1.23,0.19,0.46,11.4,0,0,0,7.1,7.1,0.22,-1.1,-1.1,Matches,235,301,78.1,3468,1047,126,147,85.7,82,103,79.6,14,18,77.8,3,1.9,2,1.1,10,18,13,1,37,Matches,301,293,7,6,2,2,11,1,0,0,0,0,235,1,7,Matches,26,2.45,21,0,0,3,2,0,6,0.57,4,0,0,1,1,0,Matches,10,6,3,7,0,4,8,50,4,9,3,6,5,15,19,0,Matches,428,28,96,194,140,56,428,21,7,33.3,13,61.9,250,1689,781,27,17,10,17,16,301,40,Matches
Davide Zappacosta,it ITA,DF,Atalanta,it Serie A,31,1992,20.7,2,37,10,27,1.78,0.48,0.05,0.2,17.1,0,0,0,2.2,2.2,0.06,-0.2,-0.2,Matches,881,1049,84,13132,4003,526,576,91.3,288,341,84.5,50,77,64.9,1,1.4,1.7,-0.4,17,46,29,14,78,Matches,1049,857,191,13,0,2,76,168,10,4,4,0,881,1,28,Matches,49,2.36,30,4,4,11,0,0,6,0.29,3,1,0,2,0,0,Matches,30,20,15,10,5,16,34,47.1,18,29,4,25,5,35,19,0,Matches,1248,30,271,489,501,46,1248,42,17,40.5,23,54.8,680,3910,2001,67,33,14,27,15,820,132,Matches
Davie Selke,de GER,FW,Köln,de Bundesliga,28,1995,14.1,6,33,11,33.3,2.35,0.78,0.18,0.55,11.1,0,0,0,4.8,4.8,0.14,1.2,1.2,Matches,144,234,61.5,1808,325,86,123,69.9,42,73,57.5,3,4,75,0,0.4,0.3,-0.4,11,12,4,0,17,Matches,234,211,22,1,0,0,4,0,0,0,0,0,144,1,9,Matches,28,1.99,18,0,2,6,2,0,1,0.07,0,0,0,1,0,0,Matches,4,2,1,3,0,0,2,0,2,5,3,2,0,4,20,0,Matches,341,24,35,166,140,63,341,12,6,50,6,50,171,653,232,9,3,5,20,12,257,46,Matches
Davinson Sánchez,co COL,DF,Tottenham,eng Premier League,27,1996,0.9,0,1,0,0,1.17,0,0,,8.6,0,0,0,0.1,0.1,0.12,-0.1,-0.1,Matches,68,75,90.7,1045,377,37,38,97.4,27,29,93.1,3,6,50,0,0,0,0,0,13,0,0,2,Matches,75,73,2,1,0,0,0,1,0,0,0,0,68,0,0,Matches,1,1.17,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Matches,0,0,0,0,0,0,0,,0,3,2,1,1,1,2,0,Matches,83,8,24,45,14,1,83,0,0,,0,,68,238,80,0,2,0,1,0,66,0,Matches
Davy Klaassen,nl NED,MF,Inter,it Serie A,30,1993,2.3,0,1,0,0,0.44,0,0,,20.2,0,0,0,0.1,0.1,0.09,-0.1,-0.1,Matches,82,95,86.3,1290,289,46,52,88.5,28,29,96.6,6,7,85.7,0,0.2,0.2,-0.2,3,6,1,0,7,Matches,95,94,1,1,0,1,0,0,0,0,0,0,82,0,2,Matches,5,2.18,5,0,0,0,0,0,2,0.87,2,0,0,0,0,0,Matches,4,2,0,4,0,1,3,33.3,2,5,1,4,3,7,4,0,Matches,119,5,24,68,28,5,119,1,1,100,0,0,47,194,37,1,0,1,5,0,68,5,Matches
Dawid Kownacki,pl POL,FW,Werder Bremen,de Bundesliga,26,1997,4.2,0,19,4,21.1,4.5,0.95,0,0,16.2,0,0,0,1.3,1.3,0.07,-1.3,-1.3,Matches,69,109,63.3,942,199,36,50,72,21,34,61.8,4,7,57.1,0,0.4,0.6,-0.4,5,10,1,0,10,Matches,109,104,4,0,0,1,3,2,0,0,0,0,69,1,3,Matches,17,4.01,8,0,1,5,3,0,2,0.47,1,0,0,0,1,0,Matches,1,1,1,0,0,1,4,25,3,3,1,2,0,1,1,0,Matches,159,2,10,66,83,31,159,3,2,66.7,1,33.3,77,346,88,5,1,3,18,5,125,26,Matches
Dayot Upamecano,fr FRA,DF,Bayern Munich,de Bundesliga,24,1998,19.6,1,11,4,36.4,0.56,0.2,0.09,0.25,10.5,0,0,0,1.7,1.7,0.15,-0.7,-0.7,Matches,1678,1813,92.6,32907,9994,538,570,94.4,952,1008,94.4,180,204,88.2,0,0.5,0.9,-0.5,6,148,2,0,137,Matches,1813,1778,33,20,1,12,3,12,0,0,0,0,1678,2,16,Matches,27,1.38,26,0,0,0,1,0,3,0.15,3,0,0,0,0,0,Matches,34,21,21,11,2,15,29,51.7,14,19,7,12,19,53,56,3,Matches,1981,140,671,1219,106,17,1981,10,6,60,4,40,1350,7520,4558,28,24,0,9,4,1519,10,Matches
Dean Henderson,eng ENG,GK,Crystal Palace,eng Premier League,26,1997,18,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches,280,485,57.7,7596,5485,75,78,96.2,120,123,97.6,81,277,29.2,0,0,0,0,0,9,1,0,0,Matches,485,342,140,35,0,0,0,0,0,0,0,0,280,3,0,Matches,1,0.06,1,0,0,0,0,0,1,0.06,1,0,0,0,0,0,Matches,1,1,1,0,0,1,2,50,1,0,0,0,0,1,8,2,Matches,536,478,536,0,0,0,536,0,0,,0,,284,1668,734,0,0,0,1,0,233,0,Matches
Dean Huijsen,es ESP,DF,Juventus,it Serie A,18,2005,0.1,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches,18,19,94.7,370,115,5,5,100,10,10,100,3,3,100,0,0,0,0,0,0,0,0,2,Matches,19,18,0,0,0,1,0,0,0,0,0,0,18,1,0,Matches,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,Matches,20,1,8,13,0,0,20,0,0,,0,,17,94,56,0,0,0,0,0,17,0,Matches
Dean Huijsen,es ESP,DF,Roma,it Serie A,18,2005,5.7,2,6,2,33.3,1.06,0.35,0.33,1,11,0,0,0,0.4,0.4,0.07,1.6,1.6,Matches,400,459,87.1,7151,2423,158,175,90.3,203,221,91.9,34,47,72.3,0,0.1,0.1,-0.1,1,16,1,0,18,Matches,459,441,18,6,0,2,1,7,0,0,0,0,400,0,10,Matches,8,1.41,4,0,1,2,1,0,4,0.71,1,0,1,1,1,0,Matches,10,5,5,5,0,1,4,25,3,7,4,3,4,14,26,2,Matches,525,62,204,281,41,8,525,2,1,50,1,50,308,1407,696,4,3,0,3,2,390,15,Matches
Declan Rice,eng ENG,MF,Arsenal,eng Premier League,24,1999,35.8,7,58,20,34.5,1.62,0.56,0.12,0.35,20.4,2,0,0,3.3,3.3,0.06,3.7,3.7,Matches,2041,2295,88.9,34242,9378,958,1031,92.9,910,975,93.3,137,210,65.2,8,5.3,4.8,2.7,47,240,39,2,278,Matches,2295,2181,107,48,2,17,60,1,47,38,0,0,2041,7,26,Matches,100,2.79,71,16,3,5,0,5,12,0.33,6,5,0,1,0,0,Matches,83,51,37,38,8,32,57,56.1,25,37,11,26,44,127,52,0,Matches,2650,100,581,1398,696,67,2650,46,21,45.7,20,43.5,1675,10194,5139,75,70,16,31,22,1928,64,Matches
Deiver Machado,co COL,DF,Lens,fr Ligue 1,29,1993,12.5,4,16,8,50,1.28,0.64,0.25,0.5,18.2,1,0,0,1.7,1.7,0.1,2.3,2.3,Matches,383,488,78.5,5645,1674,218,247,88.3,138,170,81.2,13,37,35.1,0,1.3,1.1,-1.3,13,27,11,5,26,Matches,488,396,91,3,0,0,29,87,0,0,0,0,383,1,17,Matches,24,1.92,18,0,1,2,3,0,0,0,0,0,0,0,0,0,Matches,24,18,10,10,4,15,20,75,5,13,2,11,7,31,8,0,Matches,613,26,124,274,223,25,613,24,7,29.2,10,41.7,395,2075,866,22,15,4,18,16,364,74,Matches
Deivid Washington,br BRA,"DF,FW",Chelsea,eng Premier League,18,2005,0.1,0,1,0,0,6.92,0,0,,9,0,0,0,0.5,0.5,0.47,-0.5,-0.5,Matches,1,1,100,25,0,0,0,,1,1,100,0,0,,0,0,0,0,0,0,0,0,0,Matches,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,Matches,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,1,1,1,0,0,0,1,0,1,0,0,0,0,1,0,0,Matches,5,0,1,3,1,1,5,1,0,0,1,100,2,6,0,0,0,0,0,1,2,1,Matches
Dejan Kulusevski,se SWE,"FW,MF",Tottenham,eng Premier League,23,2000,30.7,8,57,23,40.4,1.86,0.75,0.14,0.35,15.7,0,0,0,4.7,4.7,0.08,3.3,3.3,Matches,953,1234,77.2,13509,3584,610,700,87.1,279,363,76.9,39,72,54.2,3,7.7,6.7,-4.7,66,55,73,19,144,Matches,1234,1185,42,8,12,6,89,6,24,6,0,0,953,7,55,Matches,127,4.14,104,1,9,11,0,2,8,0.26,6,0,1,0,0,1,Matches,62,33,19,20,23,25,67,37.3,42,24,1,23,18,80,2,1,Matches,1623,12,167,503,984,226,1623,129,54,41.9,66,51.2,1169,7680,3856,151,61,82,86,65,1229,388,Matches
Dejan Ljubicic,at AUT,"MF,FW",Köln,de Bundesliga,25,1997,22.8,0,38,9,23.7,1.67,0.4,0,0,21.8,0,0,0,1.9,1.9,0.05,-1.9,-1.9,Matches,670,843,79.5,10615,2716,348,400,87,250,307,81.4,51,79,64.6,2,3,2,-1,28,54,20,5,84,Matches,843,833,8,2,5,6,31,5,0,0,0,0,670,2,22,Matches,61,2.68,52,1,1,5,1,1,2,0.09,1,0,0,1,0,0,Matches,43,27,20,18,5,20,43,46.5,23,22,2,20,18,61,11,0,Matches,1046,20,205,537,319,37,1046,33,15,45.5,16,48.5,634,3423,1746,41,47,5,37,18,734,73,Matches
Dejan Lovren,hr CRO,DF,Lyon,fr Ligue 1,34,1989,8,0,6,4,66.7,0.75,0.5,0,0,12.5,0,0,0,0.4,0.4,0.07,-0.4,-0.4,Matches,371,440,84.3,7463,2174,104,127,81.9,215,232,92.7,42,66,63.6,0,0,0.1,0,1,24,0,0,20,Matches,440,418,22,10,0,2,3,1,0,0,0,0,371,0,5,Matches,4,0.5,3,0,0,1,0,0,0,0,0,0,0,0,0,0,Matches,9,7,6,3,0,3,7,42.9,4,6,5,1,12,21,37,0,Matches,521,76,247,248,28,7,521,0,0,,0,,354,1746,735,5,8,0,1,2,326,1,Matches
Demba Seck,sn SEN,"FW,MF",Frosinone,it Serie A,22,2001,3.3,0,7,2,28.6,2.11,0.6,0,0,16.8,0,0,0,1.1,1.1,0.16,-1.1,-1.1,Matches,74,92,80.4,959,206,50,57,87.7,20,25,80,2,2,100,0,0.3,0.4,-0.3,3,2,2,0,9,Matches,92,89,3,1,0,0,2,1,1,0,0,0,74,0,3,Matches,12,3.64,11,0,0,1,0,0,1,0.3,1,0,0,0,0,0,Matches,7,4,2,3,2,4,5,80,1,3,0,3,1,8,1,0,Matches,141,1,11,60,72,13,141,13,4,30.8,7,53.8,89,661,318,11,9,6,7,3,98,23,Matches
Demba Seck,sn SEN,MF,Torino,it Serie A,22,2001,4.7,0,9,2,22.2,1.91,0.42,0,0,17.6,0,0,0,0.3,0.3,0.04,-0.3,-0.3,Matches,82,109,75.2,1195,260,44,54,81.5,32,38,84.2,3,4,75,0,0.1,0.2,-0.1,2,9,4,0,12,Matches,109,109,0,0,0,0,2,0,0,0,0,0,82,0,7,Matches,9,1.9,7,0,0,1,1,0,1,0.21,1,0,0,0,0,0,Matches,5,3,1,4,0,3,4,75,1,1,0,1,1,6,0,0,Matches,160,1,11,65,88,16,160,20,7,35,8,40,119,1109,542,23,20,10,14,10,126,25,Matches
Dembo Sylla,gn GUI,DF,Lorient,fr Ligue 1,20,2002,0.5,0,1,0,0,2,0,0,,10.8,0,0,0,0.1,0.1,0.11,-0.1,-0.1,Matches,19,22,86.4,378,24,9,9,100,7,8,87.5,3,4,75,0,0,0,0,0,0,1,0,1,Matches,22,18,4,0,0,1,4,4,0,0,0,0,19,0,1,Matches,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,1,1,0,1,0,0,0,,0,0,0,0,1,2,2,0,Matches,28,2,6,8,14,1,28,0,0,,0,,21,68,12,0,1,0,1,1,21,6,Matches
Denis Genreau,au AUS,"MF,FW",Toulouse,fr Ligue 1,24,1999,5.2,0,3,1,33.3,0.58,0.19,0,0,22.7,0,0,0,0.4,0.4,0.12,-0.4,-0.4,Matches,148,205,72.2,2232,715,87,111,78.4,47,60,78.3,9,13,69.2,0,0.4,0.4,-0.4,6,16,3,1,14,Matches,205,197,8,1,2,0,7,2,0,0,0,0,148,0,15,Matches,13,2.52,12,0,0,1,0,0,0,0,0,0,0,0,0,0,Matches,12,9,6,6,0,8,15,53.3,7,8,1,7,6,18,8,0,Matches,273,9,67,135,76,9,273,12,4,33.3,7,58.3,184,1019,329,6,5,2,11,4,153,27,Matches
Denis Huseinbasic,ba BIH,MF,Köln,de Bundesliga,22,2001,18.1,0,12,3,25,0.66,0.17,0,0,24.2,0,0,0,0.3,0.3,0.03,-0.3,-0.3,Matches,674,791,85.2,11058,2909,324,364,89,287,310,92.6,46,74,62.2,3,0.7,0.7,2.3,16,68,9,2,93,Matches,791,777,12,7,1,2,15,5,0,0,0,0,674,2,17,Matches,37,2.05,30,0,0,3,3,1,5,0.28,4,0,0,0,1,0,Matches,38,18,17,15,6,20,31,64.5,11,26,1,25,13,51,14,0,Matches,949,36,214,550,203,13,949,23,10,43.5,12,52.2,547,3256,1553,35,30,3,19,19,633,29,Matches
Denis Petric,rs SRB,GK,Nantes,fr Ligue 1,35,1988,0.3,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches,6,8,75,156,126,2,2,100,3,3,100,1,2,50,0,0,0,0,0,0,0,0,0,Matches,8,5,2,2,0,0,0,0,0,0,0,0,6,1,0,Matches,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches,8,7,8,0,0,0,8,0,0,,0,,6,38,16,0,0,0,0,0,4,0,Matches
Denis Suárez,es ESP,"MF,FW",Villarreal,es La Liga,29,1994,1.5,0,1,0,0,0.68,0,0,,11.5,0,0,0,0.1,0.1,0.09,-0.1,-0.1,Matches,79,94,84,1324,518,38,43,88.4,34,38,89.5,5,8,62.5,0,0.3,0.6,-0.3,3,11,2,1,13,Matches,94,82,12,9,0,1,4,1,2,2,0,0,79,0,1,Matches,8,5.37,7,1,0,0,0,0,0,0,0,0,0,0,0,0,Matches,0,0,0,0,0,0,2,0,2,2,2,0,0,0,4,0,Matches,114,7,21,59,35,5,114,10,5,50,3,30,60,429,269,4,1,1,3,2,79,7,Matches
Denis Thomalla,de GER,"MF,FW",Heidenheim,de Bundesliga,30,1992,5,0,3,0,0,0.61,0,0,,10.6,0,0,0,0.3,0.3,0.09,-0.3,-0.3,Matches,143,191,74.9,2466,675,66,88,75,54,71,76.1,17,20,85,0,0.4,0.8,-0.4,4,9,4,1,22,Matches,191,186,3,2,0,1,2,0,0,0,0,0,143,2,5,Matches,9,1.82,8,0,0,1,0,0,0,0,0,0,0,0,0,0,Matches,9,6,4,4,1,5,11,45.5,6,3,2,1,4,13,13,0,Matches,237,15,55,132,52,9,237,2,2,100,0,0,129,466,177,3,2,0,1,4,149,19,Matches
Denis Zakaria,ch SUI,"MF,DF",Monaco,fr Ligue 1,26,1996,23.7,4,26,10,38.5,1.09,0.42,0.15,0.4,21.6,0,0,0,1.4,1.4,0.05,2.6,2.6,Matches,1081,1184,91.3,18845,5961,463,502,92.2,515,548,94,74,92,80.4,0,1.1,1.1,-1.1,11,102,10,4,107,Matches,1184,1159,25,22,2,3,9,3,0,0,0,0,1081,0,14,Matches,36,1.52,26,0,3,4,0,3,3,0.13,2,0,1,0,0,0,Matches,38,27,11,20,7,12,30,40,18,39,13,26,47,85,41,0,Matches,1432,96,400,851,205,21,1432,39,29,74.4,9,23.1,1117,5797,2766,27,39,4,30,12,990,23,Matches
Deniz Undav,de GER,"FW,MF",Stuttgart,de Bundesliga,27,1996,23.2,18,106,51,48.1,4.57,2.2,0.17,0.35,17.4,0,0,1,15,14.3,0.13,3,3.7,Matches,595,799,74.5,8387,2679,342,420,81.4,186,230,80.9,27,47,57.4,10,6.5,6.1,3.5,39,67,44,2,120,Matches,799,758,32,2,18,3,7,12,0,0,0,0,595,9,43,Matches,103,4.44,79,0,10,6,6,2,17,0.73,15,0,1,1,0,0,Matches,28,13,6,8,14,4,15,26.7,11,17,0,17,6,34,5,0,Matches,1089,9,69,492,537,147,1088,50,27,54,20,40,674,3116,1459,45,36,20,58,51,889,182,Matches
Dennis Geiger,de GER,MF,Hoffenheim,de Bundesliga,25,1998,0.7,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches,8,12,66.7,162,64,3,5,60,5,6,83.3,0,1,0,0,0.2,0.1,-0.2,1,3,0,0,3,Matches,12,12,0,0,0,0,0,0,0,0,0,0,8,0,0,Matches,1,1.41,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,1,0,1,0,0,0,0,,0,1,1,0,0,1,0,0,Matches,17,2,8,6,3,1,17,0,0,,0,,9,49,19,1,0,0,1,0,10,2,Matches
Denzel Dumfries,nl NED,DF,Inter,it Serie A,27,1996,18.2,4,24,6,25,1.32,0.33,0.17,0.67,11.8,0,0,0,2.3,2.3,0.09,1.7,1.7,Matches,614,801,76.7,9956,2925,287,345,83.2,265,335,79.1,41,70,58.6,4,4.9,3.2,-0.9,27,34,29,13,51,Matches,801,656,142,4,0,2,47,138,0,0,0,0,614,3,16,Matches,47,2.59,37,3,3,1,3,0,8,0.44,5,0,1,0,2,0,Matches,22,13,9,11,2,9,23,39.1,14,15,6,9,12,34,33,1,Matches,977,32,231,385,367,73,977,33,14,42.4,12,36.4,502,2532,1121,50,19,11,29,9,626,147,Matches
Destiny Udogie,it ITA,DF,Tottenham,eng Premier League,20,2002,26.6,2,9,5,55.6,0.34,0.19,0.22,0.4,10.1,0,0,0,2.4,2.4,0.27,-0.4,-0.4,Matches,1235,1440,85.8,16731,5145,775,844,91.8,400,460,87,19,33,57.6,3,2.2,2,0.8,24,115,13,0,155,Matches,1440,1212,225,24,0,0,22,201,0,0,0,0,1235,3,42,Matches,57,2.15,51,0,4,2,0,0,7,0.26,6,0,0,1,0,0,Matches,68,33,41,16,11,27,49,55.1,22,27,8,19,37,105,80,5,Matches,1775,96,487,815,506,71,1775,58,24,41.4,26,44.8,974,6108,3320,83,65,19,49,26,1028,138,Matches
Diadie Samassékou,ml MLI,MF,Cádiz,es La Liga,27,1996,1,0,1,1,100,0.98,0.98,0,0,25.6,0,0,0,0,0,0.03,0,0,Matches,45,47,95.7,771,223,23,23,100,12,13,92.3,8,8,100,0,0,0,0,1,8,0,0,7,Matches,47,46,1,1,0,1,0,0,0,0,0,0,45,0,0,Matches,3,2.97,3,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,5,3,2,2,1,5,6,83.3,1,0,0,0,3,8,1,0,Matches,60,1,16,37,9,0,60,2,2,100,0,0,33,215,110,2,4,0,2,0,32,1,Matches
Diadie Samassékou,ml MLI,MF,Hoffenheim,de Bundesliga,27,1996,0,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches,2,2,100,25,0,1,1,100,1,1,100,0,0,,0,0,0,0,0,0,0,0,0,Matches,2,2,0,0,0,0,0,0,0,0,0,0,2,0,0,Matches,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,0,0,0,0,0,0,0,,0,0,0,0,1,1,0,0,Matches,4,1,2,2,0,0,4,0,0,,0,,3,10,3,0,0,0,0,0,2,0,Matches
Didier Lamkel Zé,cm CMR,"FW,MF",Metz,fr Ligue 1,26,1996,6.1,1,11,3,27.3,1.8,0.49,0.09,0.33,16.4,0,0,0,1.6,1.6,0.14,-0.6,-0.6,Matches,137,190,72.1,2652,608,54,67,80.6,61,81,75.3,17,28,60.7,0,0.9,0.2,-0.9,6,14,3,0,19,Matches,190,179,10,5,0,6,13,1,2,1,0,0,137,1,5,Matches,15,2.45,13,1,0,1,0,0,0,0,0,0,0,0,0,0,Matches,7,2,2,4,1,2,5,40,3,4,0,4,0,7,11,0,Matches,262,15,45,134,89,15,262,17,6,35.3,11,64.7,192,1239,542,15,19,4,11,7,190,23,Matches
