Player,Nation,Pos,Squad,Comp,Age,Born,90s,Gls,Sh_df8,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK_x,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches_x,Cmp_x,Att_x,Cmp%,TotDist_df10,PrgDist_df10,Cmp_x,Att_x,Cmp%,Cmp_x,Att_x,Cmp%,Cmp_x,Att_x,Cmp%,Ast,xAG,xA,A-xAG,KP,1/3_df10,PPA,CrsPA,PrgP,Matches_y,Att_y,Live_df10,Dead,FK_y,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp_y,Off,Blocksdf9,Matches_df8,SCA,SCA90,PassLive,PassDead,TO,Sh_df4,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh_df4,Fld,Def,Matches_df4,Tkl,TklW,Def 3rd_df10,Mid 3rd_df10,Att 3rd_df10,Tkl,Att_df10,Tkl%,Lost,Blocks_df5,Sh,Pass,Int,Tkl+Int,Clr,Err,Matches_df10,Touches,Def Pen,Def 3rd_df6,Mid 3rd_df6,Att 3rd_df6,Att Pen,Live_df6,Att_df6,Succ,Succ%,Tkld,Tkld%,Carries,TotDist_df6,PrgDist_df6,PrgC,1/3_df6,CPA,Mis,Dis,Rec,PrgR,Matches_df6
Abde Ezzalzouli,ma MAR,FW,Betis,es La Liga,21,2001,9.6,1,33,8,24.2,3.43,0.83,0.03,0.13,17.8,0,0,1,3,2.2,0.07,-2,-1.2,Matches,232,353,65.7,2777,769,159,204,77.9,51,77,66.2,5,17,29.4,0,0.3,0.5,-0.3,4,11,9,1,25,Matches,353,340,11,3,3,2,33,5,3,1,1,0,232,2,20,Matches,20,2.08,12,1,3,1,3,0,2,0.21,1,1,0,0,0,0,Matches,17,14,7,5,5,4,14,28.6,10,10,0,10,5,22,5,0,Matches,518,7,58,194,271,60,517,50,21,42,23,46,300,2801,1587,57,34,35,29,31,377,89,Matches
Abde Ezzalzouli,ma MAR,"FW,MF",Barcelona,es La Liga,21,2001,0.8,0,4,1,25,5.29,1.32,0,0,19.1,0,0,0,0.2,0.2,0.05,-0.2,-0.2,Matches,23,37,62.2,289,83,18,23,78.3,4,8,50,1,4,25,0,0.1,0,-0.1,2,0,2,1,1,Matches,37,32,5,0,0,0,7,4,1,1,0,0,23,0,1,Matches,2,2.65,2,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,1,1,0,0,1,0,1,0,1,1,0,1,0,1,0,0,Matches,54,0,2,13,39,7,54,4,2,50,2,50,41,302,143,7,3,4,4,2,43,12,Matches
Abdel Abqar,ma MAR,DF,Alavés,es La Liga,24,1999,25.7,0,10,3,30,0.39,0.12,0,0,12.1,0,0,0,0.5,0.5,0.05,-0.5,-0.5,Matches,553,762,72.6,12370,4872,141,164,86,302,339,89.1,99,225,44,0,0.2,0.2,-0.2,3,61,2,0,49,Matches,762,704,55,50,0,17,2,4,0,0,0,0,553,3,10,Matches,12,0.47,9,0,0,2,1,0,0,0,0,0,0,0,0,0,Matches,35,19,28,5,2,21,35,60,14,31,26,5,23,58,115,0,Matches,1032,191,570,422,42,21,1032,5,3,60,1,20,492,2460,1418,7,6,0,15,1,499,1,Matches
Abdellah Baallal,ma MAR,MF,Clermont Foot,fr Ligue 1,18,2004,0,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches,3,4,75,40,0,2,3,66.7,1,1,100,0,0,,0,0,0,0,0,0,0,0,0,Matches,4,4,0,0,0,0,0,0,0,0,0,0,3,0,0,Matches,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,0,0,0,0,0,0,0,,0,1,0,1,0,0,0,0,Matches,5,0,2,2,1,0,5,0,0,,0,,3,17,6,0,0,0,0,0,2,0,Matches
Abdellah Raihani,ma MAR,FW,Atlético Madrid,es La Liga,19,2004,0.1,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches,0,0,,0,0,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,Matches,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,Matches,1,0,0,0,1,1,1,0,0,,0,,1,0,0,0,0,0,1,0,1,1,Matches
Abderrahman Rebbach,dz ALG,"FW,MF",Alavés,es La Liga,24,1998,8,1,17,4,23.5,2.12,0.5,0.06,0.25,19.4,1,0,0,0.8,0.8,0.05,0.2,0.2,Matches,124,225,55.1,2213,845,63,84,75,40,67,59.7,17,45,37.8,0,1.8,1.7,-1.8,18,12,6,3,14,Matches,225,179,44,3,0,1,63,12,28,10,8,2,124,2,18,Matches,29,3.61,15,7,4,2,1,0,0,0,0,0,0,0,0,0,Matches,9,5,4,2,3,5,15,33.3,10,10,1,9,3,12,7,0,Matches,343,6,46,102,198,36,343,28,10,35.7,16,57.1,180,1419,763,34,15,18,28,12,196,78,Matches
Abdou Harroui,nl NED,"MF,FW",Frosinone,it Serie A,25,1998,11.3,3,32,11,34.4,2.83,0.97,0.06,0.18,21.1,0,1,1,3.1,2.3,0.07,-0.1,-0.3,Matches,303,383,79.1,4174,1016,186,216,86.1,84,106,79.2,15,25,60,3,1.2,1.4,1.8,16,29,12,4,38,Matches,383,361,18,4,4,2,12,6,2,1,0,0,303,4,11,Matches,39,3.44,27,0,4,5,3,0,4,0.35,3,0,0,1,0,0,Matches,23,11,11,11,1,8,16,50,8,19,3,16,5,28,8,0,Matches,564,11,79,276,220,32,563,44,19,43.2,21,47.7,308,2227,1221,43,31,8,28,7,378,56,Matches
Abdoul Kader Bamba,fr FRA,"FW,MF",Nantes,fr Ligue 1,29,1994,6.8,2,14,5,35.7,2.06,0.74,0.14,0.4,16.1,1,0,0,2.1,2.1,0.16,-0.1,-0.1,Matches,267,336,79.5,4343,1133,127,151,84.1,103,128,80.5,22,36,61.1,1,1,1.1,0,11,18,10,2,31,Matches,336,307,26,11,3,1,26,6,9,4,3,0,267,3,1,Matches,36,5.29,22,3,2,3,6,0,3,0.44,2,1,0,0,0,0,Matches,10,7,2,5,3,5,15,33.3,10,4,0,4,4,14,4,1,Matches,423,8,46,177,204,26,423,31,10,32.3,14,45.2,346,2364,1179,41,25,13,17,13,327,73,Matches
Abdoul Koné,fr FRA,DF,Reims,fr Ligue 1,18,2005,2.1,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches,53,85,62.4,1041,401,19,24,79.2,26,42,61.9,8,17,47.1,0,0.7,0,-0.7,2,6,1,0,5,Matches,85,65,20,3,0,1,1,17,0,0,0,0,53,0,3,Matches,2,0.93,1,0,0,0,1,0,2,0.93,1,0,0,0,1,0,Matches,7,7,5,2,0,4,11,36.4,7,2,0,2,2,9,9,0,Matches,115,12,55,54,9,1,115,3,2,66.7,1,33.3,65,359,116,3,1,1,4,0,52,1,Matches
Abdoulaye Doucouré,ml MLI,"FW,MF",Everton,eng Premier League,30,1993,29.2,7,47,21,44.7,1.61,0.72,0.15,0.33,12.2,0,0,0,8.8,8.8,0.2,-1.8,-1.8,Matches,683,893,76.5,9807,2329,381,453,84.1,239,288,83,28,59,47.5,1,2.9,1.5,-1.9,34,43,18,1,97,Matches,893,876,16,0,1,1,26,0,0,0,0,0,683,1,29,Matches,67,2.29,59,0,0,6,1,1,5,0.17,3,0,0,2,0,0,Matches,43,27,20,14,9,18,46,39.1,28,23,3,20,15,58,19,0,Matches,1190,36,188,523,495,100,1190,48,25,52.1,21,43.8,635,3292,1692,55,37,17,61,42,800,140,Matches
Abdoulaye Touré,gn GUI,MF,Le Havre,fr Ligue 1,29,1994,25.4,2,31,8,25.8,1.22,0.32,0,0,27.4,0,2,2,3,1.4,0.04,-1,-1.4,Matches,1031,1238,83.3,18110,5195,413,483,85.5,475,546,87,92,122,75.4,0,0.9,0.9,-0.9,12,119,7,0,148,Matches,1238,1219,14,9,1,6,4,3,0,0,0,0,1031,5,19,Matches,44,1.73,37,0,2,1,3,1,1,0.04,1,0,0,0,0,0,Matches,47,28,22,22,3,30,60,50,30,30,8,22,25,72,33,0,Matches,1504,77,385,946,194,17,1502,42,29,69,12,28.6,1107,5683,2425,22,37,2,37,28,1006,25,Matches
Abdukodir Khusanov,uz UZB,DF,Lens,fr Ligue 1,19,2004,9,0,5,2,40,0.56,0.22,0,0,18.8,0,0,0,0.2,0.2,0.04,-0.2,-0.2,Matches,383,439,87.2,7213,2415,140,152,92.1,203,219,92.7,36,59,61,0,0.1,0.2,-0.1,1,28,1,0,23,Matches,439,426,13,8,0,2,2,0,0,0,0,0,383,0,1,Matches,6,0.67,3,0,0,0,1,2,0,0,0,0,0,0,0,0,Matches,21,12,13,8,0,9,17,52.9,8,13,8,5,13,34,32,2,Matches,535,61,275,234,29,3,535,2,1,50,1,50,388,1981,757,5,4,0,6,0,349,1,Matches
Abdul Mumin,gh GHA,DF,Rayo Vallecano,es La Liga,25,1998,18.8,1,6,1,16.7,0.32,0.05,0.17,1,15.9,0,0,0,0.4,0.4,0.06,0.6,0.6,Matches,617,773,79.8,12936,4915,179,203,88.2,355,393,90.3,76,163,46.6,0,0.3,0.1,-0.3,4,34,4,0,38,Matches,773,743,28,26,0,7,2,2,0,0,0,0,617,2,3,Matches,11,0.58,8,0,1,2,0,0,0,0,0,0,0,0,0,0,Matches,19,10,13,4,2,8,10,80,2,27,19,8,22,41,82,1,Matches,956,127,578,359,25,8,956,4,2,50,1,25,492,2318,989,6,2,0,7,3,558,4,Matches
Abdón Prats,es ESP,"FW,MF",Mallorca,es La Liga,30,1992,14.1,6,33,14,42.4,2.34,0.99,0.18,0.43,14.8,2,0,0,3.2,3.2,0.1,2.8,2.8,Matches,132,240,55,2042,475,73,110,66.4,42,71,59.2,12,23,52.2,1,2.4,1.2,-1.4,14,12,8,0,26,Matches,240,228,11,2,5,3,8,0,2,1,1,0,132,1,14,Matches,23,1.63,16,1,1,3,1,1,3,0.21,3,0,0,0,0,0,Matches,6,4,2,2,2,3,5,60,2,6,3,3,2,8,12,0,Matches,376,16,34,171,181,43,376,18,8,44.4,10,55.6,183,830,285,9,9,5,41,10,266,49,Matches
Ablie Jallow,gm GAM,"MF,FW",Metz,fr Ligue 1,24,1998,10.2,3,17,6,35.3,1.67,0.59,0.12,0.33,21.7,1,1,1,2,1.2,0.07,1,0.8,Matches,248,318,78,4487,1116,112,138,81.2,97,120,80.8,30,46,65.2,2,1,0.7,1,12,22,10,0,42,Matches,318,295,21,6,2,8,23,2,12,8,3,0,248,2,7,Matches,30,2.94,19,6,2,1,2,0,7,0.69,6,1,0,0,0,0,Matches,8,5,2,3,3,3,5,60,2,4,0,4,8,16,3,0,Matches,419,4,56,226,151,15,418,38,16,42.1,21,55.3,324,2436,1153,29,27,3,21,14,304,53,Matches
Abner,br BRA,DF,Betis,es La Liga,23,2000,15.6,0,4,0,0,0.26,0,0,,15.4,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches,615,797,77.2,9211,4552,351,394,89.1,203,265,76.6,37,79,46.8,1,1,1,0,8,20,7,2,33,Matches,797,628,165,7,0,3,26,158,0,0,0,0,615,4,23,Matches,14,0.9,13,0,0,1,0,0,0,0,0,0,0,0,0,0,Matches,25,19,15,9,1,17,34,50,17,23,5,18,15,40,62,0,Matches,966,72,344,405,226,28,966,13,7,53.8,5,38.5,447,1802,949,14,10,5,18,11,502,58,Matches
Abou Lô,sn SEN,"MF,DF",Metz,fr Ligue 1,23,2000,2.2,0,1,0,0,0.46,0,0,,7.8,0,0,0,0.1,0.1,0.13,-0.1,-0.1,Matches,65,74,87.8,1319,446,20,21,95.2,39,42,92.9,6,9,66.7,0,0.3,0,-0.3,2,6,1,0,4,Matches,74,73,1,1,0,0,0,0,0,0,0,0,65,0,1,Matches,2,0.91,2,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,3,1,2,1,0,1,4,25,3,5,2,3,4,7,8,0,Matches,99,15,49,42,8,2,99,3,2,66.7,1,33.3,66,377,79,0,2,0,2,0,58,2,Matches
Aboubacar Ali,fr FRA,"MF,FW",Strasbourg,fr Ligue 1,17,2006,1.4,0,4,2,50,2.77,1.38,0,0,19.4,0,0,0,0.2,0.2,0.06,-0.2,-0.2,Matches,22,34,64.7,287,51,14,19,73.7,7,12,58.3,0,0,,1,0.1,0.1,0.9,1,4,1,0,3,Matches,34,34,0,0,0,0,6,0,0,0,0,0,22,0,1,Matches,1,0.69,1,0,0,0,0,0,1,0.69,1,0,0,0,0,0,Matches,2,0,0,2,0,0,0,,0,1,0,1,1,3,2,0,Matches,56,1,4,19,35,7,56,3,1,33.3,2,66.7,41,312,79,3,1,1,4,2,36,12,Matches
Achraf Dari,ma MAR,"DF,FW",Brest,fr Ligue 1,24,1999,1.3,0,1,1,100,0.74,0.74,0,0,14.4,0,0,0,0,0,0.05,0,0,Matches,73,85,85.9,1773,564,11,14,78.6,45,47,95.7,17,23,73.9,0,0,0,0,0,4,0,0,8,Matches,85,83,2,2,0,0,0,0,0,0,0,0,73,0,0,Matches,1,0.74,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,1,1,1,0,0,0,2,0,2,2,0,2,5,6,9,1,Matches,103,12,54,46,3,1,103,0,0,,0,,71,330,155,0,0,0,2,0,63,0,Matches
Achraf Hakimi,ma MAR,DF,Paris S-G,fr Ligue 1,24,1998,21.5,4,42,12,28.6,1.96,0.56,0.1,0.33,19.8,9,0,0,4.2,4.2,0.1,-0.2,-0.2,Matches,1712,1979,86.5,25356,8074,948,1030,92,613,696,88.1,77,125,61.6,5,5.2,4.2,-0.2,43,153,45,13,218,Matches,1979,1773,203,29,4,6,79,160,14,1,7,0,1712,3,42,Matches,93,4.33,79,1,2,5,5,1,14,0.65,13,0,0,1,0,0,Matches,29,19,14,9,6,17,34,50,17,28,4,24,12,41,28,2,Matches,2217,68,425,976,835,67,2217,57,27,47.4,30,52.6,1762,9215,4942,84,78,22,33,33,1679,230,Matches
Adam Hložek,cz CZE,"MF,FW",Leverkusen,de Bundesliga,21,2002,5.1,2,18,6,33.3,3.53,1.18,0.11,0.33,14.6,0,0,0,3.1,3.1,0.17,-1.1,-1.1,Matches,123,152,80.9,1739,280,78,88,88.6,34,42,81,6,8,75,3,0.9,1.2,2.1,9,5,2,0,13,Matches,152,151,1,0,0,0,0,1,0,0,0,0,123,0,4,Matches,16,3.14,12,0,1,3,0,0,4,0.78,4,0,0,0,0,0,Matches,10,4,2,4,4,3,7,42.9,4,4,1,3,2,12,1,0,Matches,222,4,21,99,105,29,222,14,4,28.6,9,64.3,135,812,386,14,9,5,10,13,177,33,Matches
Adam Lallana,eng ENG,"MF,FW",Brighton,eng Premier League,35,1988,9.4,0,11,2,18.2,1.16,0.21,0,0,17.8,0,0,0,0.8,0.8,0.08,-0.8,-0.8,Matches,451,509,88.6,4936,1088,326,352,92.6,78,90,86.7,7,8,87.5,1,1.7,2,-0.7,15,21,16,1,39,Matches,509,491,15,5,3,0,7,0,4,0,0,0,451,3,9,Matches,28,2.96,27,0,0,0,1,0,1,0.11,1,0,0,0,0,0,Matches,8,3,4,4,0,0,4,0,4,2,1,1,3,11,1,0,Matches,574,5,80,268,229,44,574,13,3,23.1,9,69.2,354,1310,483,9,12,4,14,18,491,55,Matches
Adam Marušic,me MNE,DF,Lazio,it Serie A,30,1992,34.4,1,8,3,37.5,0.23,0.09,0.13,0.33,19.9,0,0,0,0.4,0.4,0.05,0.6,0.6,Matches,1560,1880,83,24140,9157,843,935,90.2,582,704,82.7,89,159,56,0,0.8,1.1,-0.8,10,110,24,11,118,Matches,1880,1575,304,20,0,4,44,284,0,0,0,0,1560,1,27,Matches,34,0.99,29,1,2,1,1,0,2,0.06,2,0,0,0,0,0,Matches,45,31,24,19,2,27,49,55.1,22,27,7,20,29,74,63,2,Matches,2103,102,695,1028,391,22,2103,32,14,43.8,14,43.8,979,4378,2368,35,31,3,24,5,1334,108,Matches
Adam Masina,ma MAR,DF,Torino,it Serie A,29,1994,11.4,0,5,1,20,0.44,0.09,0,0,13.4,0,0,0,0.2,0.2,0.05,-0.2,-0.2,Matches,557,652,85.4,9669,4033,236,259,91.1,275,317,86.8,37,61,60.7,0,0.2,0.4,-0.2,3,35,4,0,42,Matches,652,620,31,8,0,1,4,17,0,0,0,0,557,1,2,Matches,10,0.88,8,0,0,0,0,2,0,0,0,0,0,0,0,0,Matches,17,12,8,8,1,5,20,25,15,12,6,6,11,28,30,0,Matches,741,94,395,309,42,8,741,1,1,100,0,0,432,1798,830,3,4,0,4,6,504,6,Matches
Adam Masina,ma MAR,DF,Udinese,it Serie A,29,1994,0.7,0,1,1,100,1.41,1.41,0,0,21.9,0,0,0,0.1,0.1,0.06,-0.1,-0.1,Matches,22,30,73.3,345,153,12,15,80,8,9,88.9,2,4,50,0,0,0,0,0,0,0,0,1,Matches,30,27,3,0,0,0,0,3,0,0,0,0,22,0,1,Matches,2,2.86,1,0,0,1,0,0,0,0,0,0,0,0,0,0,Matches,4,0,2,2,0,2,4,50,2,2,1,1,2,6,5,0,Matches,48,7,27,14,7,0,48,0,0,,0,,20,55,8,0,0,0,2,1,20,3,Matches
Adam Obert,sk SVK,DF,Cagliari,it Serie A,20,2002,10.5,0,3,3,100,0.29,0.29,0,0,18.8,0,0,0,0.1,0.1,0.05,-0.1,-0.1,Matches,372,474,78.5,7539,2700,144,162,88.9,169,197,85.8,57,100,57,0,0.9,0.7,-0.9,6,40,10,6,37,Matches,474,429,43,17,1,14,15,24,2,0,2,0,372,2,11,Matches,16,1.53,15,1,0,0,0,0,4,0.38,4,0,0,0,0,0,Matches,17,9,8,8,1,8,17,47.1,9,13,7,6,21,38,41,1,Matches,587,61,256,281,52,3,587,5,3,60,1,20,283,1533,857,14,6,1,9,2,322,5,Matches
Adam Ounas,dz ALG,FW,Lille,fr Ligue 1,26,1996,4.6,1,9,3,33.3,1.94,0.65,0.11,0.33,18.6,1,0,0,0.6,0.6,0.07,0.4,0.4,Matches,138,194,71.1,2338,766,70,84,83.3,47,64,73.4,16,29,55.2,0,1.9,1.8,-1.9,13,7,11,5,20,Matches,194,181,12,2,2,1,22,2,8,5,1,0,138,1,4,Matches,28,6.04,17,1,4,2,4,0,1,0.22,0,0,0,1,0,0,Matches,4,3,2,2,0,2,7,28.6,5,2,0,2,6,10,1,0,Matches,253,2,27,102,133,15,253,25,16,64,6,24,198,1328,616,20,12,8,13,16,183,40,Matches
