,Player,position,sub_position,Nation,Pos,Squad,Comp,Age,Born,90s,Gls,Sh_df8,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK_x,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches_x,Cmp_x,Att_x,Cmp%,TotDist_df10,PrgDist_df10,Cmp_x.1,Att_x.1,Cmp%.1,Cmp_x.2,Att_x.2,Cmp%.2,Cmp_x.3,Att_x.3,Cmp%.3,Ast,xAG,xA,A-xAG,KP,1/3_df10,PPA,CrsPA,PrgP,Matches_y,Att_y,Live_df10,Dead,FK_y,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp_y,Off,Blocksdf9,Matches_df8,SCA,SCA90,PassLive,PassDead,TO,Sh_df4,Fld,Def,GCA,GCA90,PassLive.1,PassDead.1,TO.1,Sh_df4.1,Fld.1,Def.1,Matches_df4,Tkl,TklW,Def 3rd_df10,Mid 3rd_df10,Att 3rd_df10,Tkl.1,Att_df10,Tkl%,Lost,Blocks_df5,Sh,Pass,Int,Tkl+Int,Clr,Err,Matches_df10,Touches,Def Pen,Def 3rd_df6,Mid 3rd_df6,Att 3rd_df6,Att Pen,Live_df6,Att_df6,Succ,Succ%,Tkld,Tkld%,Carries,TotDist_df6,PrgDist_df6,PrgC,1/3_df6,CPA,Mis,Dis,Rec,PrgR,Matches_df6
264,Adam Lallana,Attack,Attacking Midfield,eng ENG,"MF,FW",Brighton,eng Premier League,35,1988,9.4,0,11,2,18.2,1.16,0.21,0,0,17.8,0,0,0,0.8,0.8,0.08,-0.8,-0.8,Matches,451,509,88.6,4936,1088,326,352,92.6,78,90,86.7,7,8,87.5,1,1.7,2,-0.7,15,21,16,1,39,Matches,509,491,15,5,3,0,7,0,4,0,0,0,451,3,9,Matches,28,2.96,27,0,0,0,1,0,1,0.11,1,0,0,0,0,0,Matches,8,3,4,4,0,0,4,0,4,2,1,1,3,11,1,0,Matches,574,5,80,268,229,44,574,13,3,23.1,9,69.2,354,1310,483,9,12,4,14,18,491,55,Matches
273,Adam Masina,Defender,Left-Back,ma MAR,DF,Torino,it Serie A,29,1994,11.4,0,5,1,20,0.44,0.09,0,0,13.4,0,0,0,0.2,0.2,0.05,-0.2,-0.2,Matches,557,652,85.4,9669,4033,236,259,91.1,275,317,86.8,37,61,60.7,0,0.2,0.4,-0.2,3,35,4,0,42,Matches,652,620,31,8,0,1,4,17,0,0,0,0,557,1,2,Matches,10,0.88,8,0,0,0,0,2,0,0,0,0,0,0,0,0,Matches,17,12,8,8,1,5,20,25,15,12,6,6,11,28,30,0,Matches,741,94,395,309,42,8,741,1,1,100,0,0,432,1798,830,3,4,0,4,6,504,6,Matches
281,Adam Obert,Defender,Centre-Back,sk SVK,DF,Cagliari,it Serie A,20,2002,10.5,0,3,3,100,0.29,0.29,0,0,18.8,0,0,0,0.1,0.1,0.05,-0.1,-0.1,Matches,372,474,78.5,7539,2700,144,162,88.9,169,197,85.8,57,100,57,0,0.9,0.7,-0.9,6,40,10,6,37,Matches,474,429,43,17,1,14,15,24,2,0,2,0,372,2,11,Matches,16,1.53,15,1,0,0,0,0,4,0.38,4,0,0,0,0,0,Matches,17,9,8,8,1,8,17,47.1,9,13,7,6,21,38,41,1,Matches,587,61,256,281,52,3,587,5,3,60,1,20,283,1533,857,14,6,1,9,2,322,5,Matches
283,Adam Ounas,Attack,Right Winger,dz ALG,FW,Lille,fr Ligue 1,26,1996,4.6,1,9,3,33.3,1.94,0.65,0.11,0.33,18.6,1,0,0,0.6,0.6,0.07,0.4,0.4,Matches,138,194,71.1,2338,766,70,84,83.3,47,64,73.4,16,29,55.2,0,1.9,1.8,-1.9,13,7,11,5,20,Matches,194,181,12,2,2,1,22,2,8,5,1,0,138,1,4,Matches,28,6.04,17,1,4,2,4,0,1,0.22,0,0,0,1,0,0,Matches,4,3,2,2,0,2,7,28.6,5,2,0,2,6,10,1,0,Matches,253,2,27,102,133,15,253,25,16,64,6,24,198,1328,616,20,12,8,13,16,183,40,Matches
337,Ademola Lookman,Attack,Left Winger,ng NGA,"FW,MF",Atalanta,it Serie A,25,1997,21,11,67,24,35.8,3.18,1.14,0.16,0.46,14.3,0,0,0,9.1,9.1,0.14,1.9,1.9,Matches,635,838,75.8,9115,2499,376,441,85.3,201,247,81.4,29,74,39.2,7,5.2,4.8,1.8,50,46,32,2,97,Matches,838,759,79,6,6,4,69,8,52,20,17,0,635,0,28,Matches,101,4.81,65,10,16,4,4,2,14,0.67,9,1,2,1,1,0,Matches,20,15,2,11,7,8,22,36.4,14,19,0,19,9,29,0,1,Matches,1109,2,54,458,607,129,1109,87,39,44.8,37,42.5,699,4257,1972,72,42,35,66,42,866,222,Matches
371,Adnan Januzaj,Attack,Right Winger,be BEL,"FW,MF",Sevilla,es La Liga,28,1995,2.1,0,6,1,16.7,2.8,0.47,0,0,16.8,0,0,0,0.6,0.6,0.1,-0.6,-0.6,Matches,70,88,79.5,1250,244,35,38,92.1,23,28,82.1,10,18,55.6,0,0,0.2,0,2,6,1,1,9,Matches,88,80,8,3,0,3,8,3,2,0,1,0,70,0,1,Matches,6,2.8,2,2,1,0,1,0,0,0,0,0,0,0,0,0,Matches,3,3,2,0,1,0,1,0,1,2,0,2,1,4,0,0,Matches,119,1,8,56,57,5,119,11,5,45.5,4,36.4,79,383,156,1,3,0,10,1,92,17,Matches
390,Adrian Beck,Attack,Attacking Midfield,de GER,"MF,FW",Heidenheim,de Bundesliga,26,1997,10.8,1,12,3,25,1.11,0.28,0.08,0.33,13.5,0,0,0,1.7,1.7,0.15,-0.7,-0.7,Matches,311,431,72.2,5102,1027,157,203,77.3,122,149,81.9,23,36,63.9,1,0.8,0.6,0.2,11,25,5,0,29,Matches,431,411,18,3,2,5,6,1,0,0,0,0,311,2,17,Matches,29,2.68,22,0,3,3,0,1,4,0.37,3,0,0,1,0,0,Matches,22,13,8,12,2,9,24,37.5,15,17,0,17,4,26,15,0,Matches,560,12,96,304,169,31,560,34,21,61.8,13,38.2,314,1759,702,17,12,0,25,18,341,43,Matches
446,Adrien Rabiot,Midfield,Central Midfield,fr FRA,MF,Juventus,it Serie A,28,1995,29.5,5,38,16,42.1,1.29,0.54,0.13,0.31,16.9,0,0,0,3.5,3.4,0.09,1.5,1.6,Matches,996,1211,82.2,14960,3691,548,620,88.4,361,429,84.1,53,81,65.4,3,4.1,4,-1.1,26,103,23,10,120,Matches,1211,1167,40,15,3,7,45,25,0,0,0,0,996,4,27,Matches,64,2.17,54,0,2,4,4,0,5,0.17,4,0,1,0,0,0,Matches,58,39,22,30,6,30,45,66.7,15,26,6,20,25,83,34,0,Matches,1525,69,269,829,447,79,1525,54,28,51.9,21,38.9,893,5580,2746,72,59,10,52,19,1027,106,Matches
451,Adrien Thomasson,Attack,Attacking Midfield,fr FRA,MF,Lens,fr Ligue 1,29,1993,13.3,1,31,6,19.4,2.34,0.45,0.03,0.17,14.3,0,0,0,3.8,3.8,0.12,-2.8,-2.8,Matches,506,679,74.5,7672,1909,261,319,81.8,192,248,77.4,27,52,51.9,2,3.9,3.8,-1.9,30,44,15,3,68,Matches,679,638,38,18,1,1,47,2,18,2,11,0,506,3,31,Matches,75,5.64,59,9,0,4,3,0,3,0.23,1,1,0,0,1,0,Matches,25,14,4,16,5,11,34,32.4,23,14,0,14,9,34,10,1,Matches,822,17,107,330,393,75,822,14,9,64.3,5,35.7,611,3027,1117,20,23,7,29,22,574,121,Matches
453,Adrien Truffert,Defender,Left-Back,fr FRA,DF,Rennes,fr Ligue 1,21,2001,23.8,1,20,7,35,0.84,0.29,0.05,0.14,20.7,0,0,0,1.7,1.7,0.08,-0.7,-0.7,Matches,1047,1333,78.5,16183,5530,557,641,86.9,420,537,78.2,43,85,50.6,2,1.8,2,0.2,19,55,22,10,98,Matches,1333,1081,247,21,0,1,72,225,1,1,0,0,1047,5,29,Matches,38,1.59,27,0,4,2,5,0,3,0.13,1,0,0,1,1,0,Matches,39,21,23,10,6,25,40,62.5,15,31,5,26,19,58,49,0,Matches,1586,73,388,665,545,47,1586,56,24,42.9,28,50,1023,5947,2732,51,61,8,34,24,941,181,Matches
564,Aimar Oroz,Attack,Attacking Midfield,es ESP,MF,Osasuna,es La Liga,21,2001,26,2,24,5,20.8,0.92,0.19,0.04,0.2,18,1,1,1,3.5,2.8,0.11,-1.5,-1.8,Matches,839,1035,81.1,12423,2859,485,560,86.6,288,329,87.5,41,63,65.1,1,1.6,2.2,-0.6,26,68,18,0,103,Matches,1035,986,43,5,3,3,11,7,1,1,0,0,839,6,35,Matches,70,2.69,60,1,1,4,4,0,3,0.12,2,0,0,1,0,0,Matches,43,26,18,20,5,13,37,35.1,24,27,2,25,16,59,11,0,Matches,1298,17,157,651,516,62,1297,52,26,50,18,34.6,773,4229,2079,52,46,9,58,42,928,126,Matches
579,Aitor Paredes,Defender,Centre-Back,es ESP,DF,Athletic Club,es La Liga,23,2000,30,1,14,3,21.4,0.47,0.1,0.07,0.33,9.7,0,0,0,1.2,1.2,0.08,-0.2,-0.2,Matches,1331,1556,85.5,26700,10013,385,432,89.1,785,843,93.1,146,247,59.1,0,0.2,0.4,-0.2,4,68,6,0,107,Matches,1556,1507,47,39,2,11,1,2,0,0,0,0,1331,2,7,Matches,15,0.5,15,0,0,0,0,0,1,0.03,1,0,0,0,0,0,Matches,20,11,11,9,0,7,14,50,7,23,11,12,33,53,104,0,Matches,1799,158,915,852,41,24,1799,3,2,66.7,1,33.3,1004,5116,2607,6,2,0,9,2,1167,1,Matches
580,Aitor Ruibal,Defender,Right-Back,es ESP,"DF,FW",Betis,es La Liga,27,1996,11.3,2,13,2,15.4,1.15,0.18,0.15,1,22.1,0,0,0,0.8,0.8,0.06,1.2,1.2,Matches,445,586,75.9,7163,2899,252,280,90,148,190,77.9,37,79,46.8,1,1.3,0.8,-0.3,11,37,14,3,54,Matches,586,490,95,11,0,4,28,84,0,0,0,0,445,1,27,Matches,33,2.92,27,1,2,1,1,1,3,0.27,3,0,0,0,0,0,Matches,46,27,28,13,5,32,59,54.2,27,12,1,11,14,60,33,1,Matches,744,36,232,318,209,25,744,45,27,60,14,31.1,380,1932,1016,22,15,9,19,9,409,50,Matches
634,Alan Virginius,Attack,Left Winger,fr FRA,FW,Clermont Foot,fr Ligue 1,20,2003,10.4,0,10,6,60,0.96,0.58,0,0,15,0,0,0,1.3,1.3,0.13,-1.3,-1.3,Matches,136,209,65.1,1961,554,71,92,77.2,46,74,62.2,6,14,42.9,2,1.5,2.7,0.5,11,9,5,2,21,Matches,209,182,25,1,2,0,22,0,15,13,1,1,136,2,8,Matches,21,2.02,15,2,1,2,1,0,3,0.29,2,0,0,0,1,0,Matches,9,5,4,4,1,4,11,36.4,7,7,0,7,3,12,7,0,Matches,300,7,38,127,138,40,300,20,10,50,10,50,209,1559,806,22,11,10,24,11,211,64,Matches
