,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Gls,Sh_df8,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK_x,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches_x,Cmp_x,Att_x,Cmp%,TotDist_df10,PrgDist_df10,Cmp_x.1,Att_x.1,Cmp%.1,Cmp_x.2,Att_x.2,Cmp%.2,Cmp_x.3,Att_x.3,Cmp%.3,Ast,xAG,xA,A-xAG,KP,1/3_df10,PPA,CrsPA,PrgP,Matches_y,Att_y,Live_df10,Dead,FK_y,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp_y,Off,Blocksdf9,Matches_df8,SCA,SCA90,PassLive,PassDead,TO,Sh_df4,Fld,Def,GCA,GCA90,PassLive.1,PassDead.1,TO.1,Sh_df4.1,Fld.1,Def.1,Matches_df4,Tkl,TklW,Def 3rd_df10,Mid 3rd_df10,Att 3rd_df10,Tkl.1,Att_df10,Tkl%,Lost,Blocks_df5,Sh,Pass,Int,Tkl+Int,Clr,Err,Matches_df10,Touches,Def Pen,Def 3rd_df6,Mid 3rd_df6,Att 3rd_df6,Att Pen,Live_df6,Att_df6,Succ,Succ%,Tkld,Tkld%,Carries,TotDist_df6,PrgDist_df6,PrgC,1/3_df6,CPA,Mis,Dis,Rec,PrgR,Matches_df6,position,sub_position
561,Dimitri Foulquier,fr FRA,"DF,MF",Valencia,es La Liga,30.0,1993.0,20.5,0.0,7.0,1.0,14.3,0.34,0.05,0.0,0.0,16.9,0.0,0.0,0.0,0.6,0.6,0.09,-0.6,-0.6,Matches,766.0,1042.0,73.5,11858.0,4675.0,394.0,463.0,85.1,308.0,382.0,80.6,42.0,118.0,35.6,0.0,1.2,0.8,-1.2,14.0,47.0,14.0,6.0,72.0,Matches,1042.0,791.0,245.0,22.0,1.0,4.0,42.0,223.0,0.0,0.0,0.0,0.0,766.0,6.0,43.0,Matches,27.0,1.32,21.0,2.0,0.0,0.0,1.0,3.0,2.0,0.1,2.0,0.0,0.0,0.0,0.0,0.0,Matches,39.0,22.0,22.0,13.0,4.0,18.0,26.0,69.2,8.0,10.0,1.0,9.0,16.0,55.0,49.0,1.0,Matches,1258.0,47.0,423.0,558.0,290.0,18.0,1258.0,45.0,22.0,48.9,16.0,35.6,577.0,3158.0,1668.0,42.0,32.0,6.0,34.0,16.0,659.0,64.0,Matches,Defender,Right-Back
562,Diogo Dalot,pt POR,DF,Manchester Utd,eng Premier League,24.0,1999.0,35.3,2.0,30.0,7.0,23.3,0.85,0.2,0.07,0.29,21.0,0.0,0.0,0.0,1.7,1.7,0.06,0.3,0.3,Matches,1486.0,1830.0,81.2,24927.0,8066.0,729.0,817.0,89.2,574.0,701.0,81.9,139.0,213.0,65.3,3.0,2.9,2.4,0.1,37.0,107.0,31.0,16.0,124.0,Matches,1830.0,1546.0,277.0,21.0,1.0,7.0,80.0,251.0,5.0,2.0,3.0,0.0,1486.0,7.0,39.0,Matches,78.0,2.21,67.0,4.0,2.0,3.0,1.0,1.0,7.0,0.2,6.0,0.0,0.0,1.0,0.0,0.0,Matches,81.0,51.0,58.0,12.0,11.0,51.0,74.0,68.9,23.0,44.0,16.0,28.0,37.0,118.0,111.0,0.0,Matches,2196.0,185.0,752.0,873.0,587.0,48.0,2196.0,52.0,31.0,59.6,18.0,34.6,1149.0,5413.0,2901.0,52.0,43.0,10.0,24.0,11.0,1255.0,111.0,Matches,Defender,Right-Back
563,Diogo Jota,pt POR,FW,Liverpool,eng Premier League,26.0,1996.0,12.7,10.0,41.0,19.0,46.3,3.22,1.49,0.24,0.53,12.3,0.0,0.0,0.0,5.3,5.3,0.13,4.7,4.7,Matches,287.0,394.0,72.8,3995.0,939.0,185.0,227.0,81.5,83.0,104.0,79.8,11.0,17.0,64.7,3.0,3.3,1.7,-0.3,22.0,18.0,12.0,0.0,34.0,Matches,394.0,393.0,1.0,0.0,5.0,1.0,9.0,1.0,0.0,0.0,0.0,0.0,287.0,0.0,22.0,Matches,48.0,3.77,36.0,0.0,5.0,3.0,4.0,0.0,14.0,1.1,7.0,0.0,4.0,1.0,2.0,0.0,Matches,23.0,13.0,6.0,13.0,4.0,10.0,23.0,43.5,13.0,9.0,1.0,8.0,7.0,30.0,4.0,0.0,Matches,594.0,8.0,53.0,240.0,311.0,107.0,594.0,41.0,15.0,36.6,21.0,51.2,350.0,2104.0,1239.0,54.0,29.0,23.0,42.0,18.0,427.0,111.0,Matches,Attack,Left Winger
564,Diogo Leite,pt POR,DF,Union Berlin,de Bundesliga,24.0,1999.0,30.0,0.0,13.0,4.0,30.8,0.43,0.13,0.0,0.0,12.3,0.0,0.0,0.0,0.8,0.8,0.06,-0.8,-0.8,Matches,1263.0,1581.0,79.9,23047.0,9175.0,511.0,569.0,89.8,596.0,687.0,86.8,126.0,249.0,50.6,0.0,0.2,0.7,-0.2,6.0,113.0,3.0,1.0,121.0,Matches,1581.0,1471.0,98.0,54.0,1.0,6.0,4.0,14.0,0.0,0.0,0.0,0.0,1263.0,12.0,15.0,Matches,24.0,0.8,19.0,0.0,0.0,1.0,3.0,1.0,3.0,0.1,3.0,0.0,0.0,0.0,0.0,0.0,Matches,52.0,36.0,31.0,15.0,6.0,25.0,51.0,49.0,26.0,48.0,22.0,26.0,47.0,99.0,155.0,1.0,Matches,1979.0,243.0,981.0,886.0,126.0,22.0,1979.0,11.0,6.0,54.5,5.0,45.5,982.0,4458.0,2495.0,14.0,9.0,2.0,24.0,7.0,1128.0,4.0,Matches,Defender,Centre-Back
566,Dion Lopy,sn SEN,MF,Almería,es La Liga,21.0,2002.0,21.3,0.0,23.0,8.0,34.8,1.08,0.38,0.0,0.0,26.2,0.0,0.0,0.0,1.3,1.3,0.06,-1.3,-1.3,Matches,745.0,882.0,84.5,14551.0,3507.0,276.0,316.0,87.3,340.0,384.0,88.5,110.0,137.0,80.3,0.0,1.2,0.7,-1.2,13.0,81.0,8.0,1.0,90.0,Matches,882.0,855.0,25.0,18.0,2.0,15.0,7.0,7.0,0.0,0.0,0.0,0.0,745.0,2.0,11.0,Matches,45.0,2.11,34.0,0.0,4.0,1.0,5.0,1.0,3.0,0.14,3.0,0.0,0.0,0.0,0.0,0.0,Matches,62.0,37.0,36.0,20.0,6.0,17.0,44.0,38.6,27.0,23.0,5.0,18.0,15.0,77.0,22.0,2.0,Matches,1108.0,65.0,310.0,656.0,162.0,8.0,1108.0,48.0,29.0,60.4,15.0,31.3,652.0,4181.0,1705.0,23.0,23.0,2.0,23.0,15.0,695.0,19.0,Matches,Midfield,Defensive Midfield
568,Divock Origi,be BEL,FW,Nott'ham Forest,eng Premier League,28.0,1995.0,6.7,0.0,14.0,2.0,14.3,2.08,0.3,0.0,0.0,19.7,0.0,0.0,0.0,1.4,1.4,0.1,-1.4,-1.4,Matches,92.0,144.0,63.9,1357.0,327.0,59.0,82.0,72.0,19.0,32.0,59.4,9.0,13.0,69.2,1.0,2.1,0.8,-1.1,7.0,7.0,5.0,1.0,14.0,Matches,144.0,143.0,1.0,1.0,3.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,92.0,0.0,10.0,Matches,16.0,2.38,11.0,1.0,2.0,1.0,1.0,0.0,2.0,0.3,2.0,0.0,0.0,0.0,0.0,0.0,Matches,6.0,4.0,5.0,0.0,1.0,0.0,0.0,,0.0,6.0,0.0,6.0,2.0,8.0,4.0,0.0,Matches,225.0,3.0,23.0,103.0,105.0,26.0,225.0,24.0,9.0,37.5,12.0,50.0,144.0,914.0,409.0,19.0,9.0,9.0,16.0,10.0,172.0,41.0,Matches,Attack,Centre-Forward
569,Djed Spence,eng ENG,DF,Genoa,it Serie A,22.0,2000.0,9.5,0.0,2.0,0.0,0.0,0.21,0.0,0.0,,11.9,0.0,0.0,0.0,0.2,0.2,0.09,-0.2,-0.2,Matches,272.0,342.0,79.5,4216.0,1253.0,148.0,166.0,89.2,93.0,127.0,73.2,19.0,29.0,65.5,0.0,0.3,0.4,-0.3,6.0,17.0,9.0,6.0,25.0,Matches,342.0,275.0,67.0,4.0,0.0,2.0,12.0,63.0,0.0,0.0,0.0,0.0,272.0,0.0,5.0,Matches,12.0,1.26,7.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,16.0,10.0,12.0,4.0,0.0,8.0,10.0,80.0,2.0,20.0,5.0,15.0,8.0,24.0,28.0,0.0,Matches,464.0,29.0,154.0,195.0,120.0,14.0,464.0,25.0,11.0,44.0,9.0,36.0,220.0,1324.0,639.0,17.0,15.0,4.0,12.0,16.0,244.0,31.0,Matches,Defender,Right-Back
571,Djibril Sow,ch SUI,MF,Sevilla,es La Liga,26.0,1997.0,16.2,1.0,18.0,5.0,27.8,1.11,0.31,0.06,0.2,17.7,0.0,0.0,0.0,1.5,1.5,0.08,-0.5,-0.5,Matches,582.0,682.0,85.3,9552.0,1887.0,275.0,310.0,88.7,252.0,277.0,91.0,38.0,54.0,70.4,1.0,0.8,1.1,0.2,15.0,57.0,7.0,2.0,73.0,Matches,682.0,664.0,16.0,12.0,0.0,5.0,5.0,1.0,1.0,0.0,1.0,0.0,582.0,2.0,14.0,Matches,43.0,2.65,34.0,0.0,1.0,4.0,3.0,1.0,3.0,0.18,3.0,0.0,0.0,0.0,0.0,0.0,Matches,28.0,21.0,15.0,8.0,5.0,9.0,25.0,36.0,16.0,20.0,3.0,17.0,17.0,45.0,8.0,1.0,Matches,840.0,22.0,159.0,479.0,207.0,33.0,840.0,8.0,5.0,62.5,2.0,25.0,487.0,2574.0,1174.0,25.0,17.0,0.0,23.0,3.0,577.0,45.0,Matches,Midfield,Central Midfield
572,Dodi Lukebakio,be BEL,"FW,MF",Sevilla,es La Liga,25.0,1997.0,12.5,5.0,42.0,17.0,40.5,3.36,1.36,0.12,0.29,14.4,1.0,0.0,0.0,5.6,5.6,0.13,-0.6,-0.6,Matches,269.0,351.0,76.6,4081.0,574.0,153.0,173.0,88.4,80.0,100.0,80.0,23.0,40.0,57.5,1.0,0.7,1.1,0.3,13.0,8.0,10.0,4.0,26.0,Matches,351.0,337.0,11.0,4.0,1.0,4.0,36.0,2.0,2.0,1.0,1.0,0.0,269.0,3.0,16.0,Matches,48.0,3.84,32.0,2.0,8.0,1.0,5.0,0.0,6.0,0.48,5.0,0.0,1.0,0.0,0.0,0.0,Matches,5.0,2.0,2.0,2.0,1.0,1.0,6.0,16.7,5.0,9.0,2.0,7.0,2.0,7.0,5.0,0.0,Matches,520.0,8.0,36.0,193.0,298.0,67.0,520.0,62.0,30.0,48.4,26.0,41.9,369.0,2713.0,1336.0,48.0,31.0,24.0,44.0,19.0,437.0,116.0,Matches,Attack,Right Winger
574,Domagoj Bradaric,hr CRO,DF,Salernitana,it Serie A,23.0,1999.0,30.5,0.0,19.0,4.0,21.1,0.62,0.13,0.0,0.0,22.3,0.0,0.0,0.0,0.8,0.8,0.04,-0.8,-0.8,Matches,1184.0,1536.0,77.1,18474.0,5884.0,637.0,707.0,90.1,421.0,542.0,77.7,78.0,185.0,42.2,3.0,1.8,1.6,1.2,36.0,54.0,18.0,11.0,76.0,Matches,1536.0,1248.0,286.0,33.0,2.0,10.0,81.0,243.0,9.0,3.0,6.0,0.0,1184.0,2.0,41.0,Matches,61.0,2.0,46.0,9.0,1.0,1.0,2.0,2.0,3.0,0.1,3.0,0.0,0.0,0.0,0.0,0.0,Matches,29.0,20.0,13.0,10.0,6.0,15.0,25.0,60.0,10.0,22.0,7.0,15.0,32.0,61.0,62.0,1.0,Matches,1792.0,85.0,529.0,817.0,461.0,23.0,1792.0,49.0,20.0,40.8,24.0,49.0,925.0,5175.0,2622.0,57.0,38.0,8.0,32.0,17.0,1046.0,120.0,Matches,Defender,Left-Back
575,Domenico Berardi,it ITA,FW,Sassuolo,it Serie A,28.0,1994.0,15.9,9.0,46.0,19.0,41.3,2.89,1.19,0.09,0.21,23.3,2.0,5.0,5.0,6.5,2.6,0.06,2.5,1.4,Matches,409.0,641.0,63.8,8116.0,2265.0,185.0,241.0,76.8,140.0,204.0,68.6,73.0,140.0,52.1,3.0,3.0,2.5,0.0,27.0,48.0,29.0,6.0,83.0,Matches,641.0,583.0,55.0,19.0,8.0,24.0,72.0,7.0,29.0,19.0,0.0,0.0,409.0,3.0,15.0,Matches,64.0,4.02,49.0,2.0,2.0,7.0,3.0,1.0,5.0,0.31,3.0,0.0,0.0,1.0,1.0,0.0,Matches,17.0,8.0,7.0,9.0,1.0,2.0,21.0,9.5,19.0,17.0,0.0,17.0,13.0,30.0,9.0,0.0,Matches,829.0,9.0,67.0,340.0,430.0,63.0,824.0,28.0,11.0,39.3,14.0,50.0,496.0,2734.0,1220.0,38.0,26.0,14.0,31.0,24.0,607.0,123.0,Matches,Attack,Right Winger
577,Domingos Duarte,pt POR,DF,Getafe,es La Liga,28.0,1995.0,10.1,0.0,1.0,0.0,0.0,0.1,0.0,0.0,,2.8,0.0,0.0,0.0,0.3,0.3,0.27,-0.3,-0.3,Matches,294.0,380.0,77.4,6753.0,2583.0,67.0,87.0,77.0,168.0,201.0,83.6,59.0,85.0,69.4,0.0,0.1,0.1,-0.1,2.0,40.0,1.0,1.0,47.0,Matches,380.0,365.0,13.0,11.0,1.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,294.0,2.0,4.0,Matches,4.0,0.4,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,7.0,4.0,6.0,0.0,1.0,5.0,7.0,71.4,2.0,7.0,5.0,2.0,8.0,15.0,27.0,0.0,Matches,453.0,45.0,173.0,264.0,20.0,6.0,453.0,3.0,1.0,33.3,1.0,33.3,211.0,1150.0,728.0,7.0,1.0,0.0,5.0,2.0,236.0,0.0,Matches,Defender,Centre-Back
579,Dominic Solanke,eng ENG,FW,Bournemouth,eng Premier League,25.0,1997.0,36.9,19.0,106.0,35.0,33.0,2.87,0.95,0.16,0.49,12.2,0.0,2.0,3.0,19.6,17.2,0.16,-0.6,-0.2,Matches,400.0,544.0,73.5,5026.0,1387.0,262.0,315.0,83.2,93.0,127.0,73.2,11.0,18.0,61.1,3.0,3.0,2.0,0.0,39.0,32.0,24.0,3.0,60.0,Matches,544.0,485.0,58.0,0.0,1.0,1.0,6.0,4.0,0.0,0.0,0.0,0.0,400.0,1.0,30.0,Matches,79.0,2.14,61.0,0.0,6.0,5.0,4.0,3.0,6.0,0.16,4.0,0.0,2.0,0.0,0.0,0.0,Matches,23.0,11.0,3.0,13.0,7.0,10.0,29.0,34.5,19.0,24.0,5.0,19.0,7.0,30.0,43.0,0.0,Matches,1069.0,57.0,113.0,426.0,547.0,216.0,1066.0,106.0,39.0,36.8,60.0,56.6,599.0,3921.0,1420.0,52.0,24.0,27.0,136.0,81.0,724.0,184.0,Matches,Attack,Centre-Forward
580,Dominik Kohr,de GER,"DF,MF",Mainz 05,de Bundesliga,29.0,1994.0,24.3,1.0,25.0,7.0,28.0,1.03,0.29,0.04,0.14,16.5,0.0,0.0,0.0,1.6,1.6,0.07,-0.6,-0.6,Matches,876.0,1159.0,75.6,16488.0,5668.0,326.0,390.0,83.6,454.0,540.0,84.1,82.0,181.0,45.3,0.0,1.2,1.2,-1.2,15.0,87.0,15.0,5.0,99.0,Matches,1159.0,1108.0,47.0,40.0,0.0,7.0,22.0,6.0,0.0,0.0,0.0,0.0,876.0,4.0,27.0,Matches,28.0,1.15,22.0,0.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,65.0,42.0,36.0,25.0,4.0,36.0,57.0,63.2,21.0,27.0,6.0,21.0,43.0,108.0,58.0,0.0,Matches,1414.0,81.0,541.0,726.0,156.0,28.0,1414.0,11.0,5.0,45.5,6.0,54.5,632.0,2818.0,1235.0,19.0,10.0,2.0,22.0,4.0,811.0,26.0,Matches,Midfield,Central Midfield
581,Dominik Szoboszlai,hu HUN,MF,Liverpool,eng Premier League,22.0,2000.0,23.4,3.0,60.0,15.0,25.0,2.57,0.64,0.05,0.2,24.3,7.0,0.0,0.0,3.7,3.7,0.06,-0.7,-0.7,Matches,1280.0,1550.0,82.6,20367.0,4929.0,694.0,777.0,89.3,441.0,507.0,87.0,98.0,169.0,58.0,2.0,5.8,5.1,-3.8,56.0,98.0,33.0,6.0,152.0,Matches,1550.0,1376.0,167.0,34.0,3.0,16.0,113.0,31.0,66.0,24.0,28.0,2.0,1280.0,7.0,24.0,Matches,115.0,4.92,84.0,21.0,4.0,3.0,3.0,0.0,7.0,0.3,5.0,0.0,0.0,1.0,1.0,0.0,Matches,32.0,19.0,12.0,12.0,8.0,16.0,50.0,32.0,34.0,37.0,2.0,35.0,15.0,47.0,16.0,1.0,Matches,1802.0,36.0,239.0,868.0,718.0,71.0,1802.0,56.0,24.0,42.9,27.0,48.2,1043.0,5475.0,2880.0,75.0,67.0,22.0,27.0,27.0,1238.0,160.0,Matches,Attack,Attacking Midfield
582,Dominique Heintz,de GER,DF,Köln,de Bundesliga,29.0,1993.0,6.3,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,Matches,349.0,423.0,82.5,6540.0,2053.0,130.0,144.0,90.3,186.0,205.0,90.7,31.0,63.0,49.2,0.0,0.5,0.7,-0.5,7.0,24.0,6.0,5.0,30.0,Matches,423.0,359.0,64.0,5.0,0.0,2.0,23.0,54.0,0.0,0.0,0.0,0.0,349.0,0.0,6.0,Matches,14.0,2.22,12.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,12.0,5.0,6.0,6.0,0.0,8.0,12.0,66.7,4.0,6.0,1.0,5.0,3.0,15.0,28.0,0.0,Matches,489.0,37.0,154.0,274.0,64.0,2.0,489.0,4.0,3.0,75.0,1.0,25.0,253.0,1278.0,699.0,10.0,12.0,1.0,6.0,3.0,307.0,16.0,Matches,Defender,Centre-Back
584,Donyell Malen,nl NED,"FW,MF",Dortmund,de Bundesliga,24.0,1999.0,19.8,13.0,72.0,36.0,50.0,3.64,1.82,0.18,0.36,16.5,2.0,0.0,0.0,9.5,9.5,0.14,3.5,3.5,Matches,410.0,546.0,75.1,5627.0,1551.0,262.0,310.0,84.5,109.0,144.0,75.7,18.0,33.0,54.5,1.0,3.0,3.4,-2.0,22.0,21.0,36.0,6.0,57.0,Matches,546.0,525.0,18.0,4.0,6.0,4.0,39.0,9.0,4.0,0.0,0.0,0.0,410.0,3.0,23.0,Matches,74.0,3.74,49.0,0.0,7.0,13.0,4.0,1.0,14.0,0.71,6.0,0.0,2.0,3.0,2.0,1.0,Matches,11.0,7.0,5.0,3.0,3.0,2.0,6.0,33.3,4.0,11.0,4.0,7.0,2.0,13.0,8.0,0.0,Matches,800.0,10.0,78.0,262.0,475.0,118.0,800.0,95.0,42.0,44.2,40.0,42.1,558.0,3933.0,1957.0,73.0,49.0,45.0,51.0,39.0,631.0,163.0,Matches,Attack,Left Winger
585,Douglas,br BRA,MF,Nantes,fr Ligue 1,26.0,1997.0,19.7,0.0,16.0,5.0,31.3,0.81,0.25,0.0,0.0,20.0,0.0,0.0,0.0,1.2,1.2,0.07,-1.2,-1.2,Matches,904.0,1040.0,86.9,15549.0,4365.0,396.0,439.0,90.2,390.0,431.0,90.5,82.0,118.0,69.5,0.0,1.1,1.6,-1.1,17.0,85.0,11.0,1.0,105.0,Matches,1040.0,991.0,47.0,34.0,4.0,8.0,20.0,2.0,11.0,8.0,2.0,0.0,904.0,2.0,11.0,Matches,37.0,1.88,26.0,5.0,0.0,1.0,3.0,2.0,2.0,0.1,2.0,0.0,0.0,0.0,0.0,0.0,Matches,70.0,42.0,34.0,30.0,6.0,30.0,59.0,50.8,29.0,22.0,8.0,14.0,26.0,96.0,30.0,0.0,Matches,1248.0,66.0,310.0,757.0,195.0,14.0,1248.0,8.0,2.0,25.0,4.0,50.0,892.0,4287.0,1756.0,12.0,16.0,1.0,16.0,8.0,806.0,18.0,Matches,Defender,Centre-Back
586,Douglas,br BRA,MF,Nantes,fr Ligue 1,26.0,1997.0,19.7,0.0,16.0,5.0,31.3,0.81,0.25,0.0,0.0,20.0,0.0,0.0,0.0,1.2,1.2,0.07,-1.2,-1.2,Matches,904.0,1040.0,86.9,15549.0,4365.0,396.0,439.0,90.2,390.0,431.0,90.5,82.0,118.0,69.5,0.0,1.1,1.6,-1.1,17.0,85.0,11.0,1.0,105.0,Matches,1040.0,991.0,47.0,34.0,4.0,8.0,20.0,2.0,11.0,8.0,2.0,0.0,904.0,2.0,11.0,Matches,37.0,1.88,26.0,5.0,0.0,1.0,3.0,2.0,2.0,0.1,2.0,0.0,0.0,0.0,0.0,0.0,Matches,70.0,42.0,34.0,30.0,6.0,30.0,59.0,50.8,29.0,22.0,8.0,14.0,26.0,96.0,30.0,0.0,Matches,1248.0,66.0,310.0,757.0,195.0,14.0,1248.0,8.0,2.0,25.0,4.0,50.0,892.0,4287.0,1756.0,12.0,16.0,1.0,16.0,8.0,806.0,18.0,Matches,Attack,Centre-Forward
587,Douglas,br BRA,MF,Nantes,fr Ligue 1,26.0,1997.0,19.7,0.0,16.0,5.0,31.3,0.81,0.25,0.0,0.0,20.0,0.0,0.0,0.0,1.2,1.2,0.07,-1.2,-1.2,Matches,904.0,1040.0,86.9,15549.0,4365.0,396.0,439.0,90.2,390.0,431.0,90.5,82.0,118.0,69.5,0.0,1.1,1.6,-1.1,17.0,85.0,11.0,1.0,105.0,Matches,1040.0,991.0,47.0,34.0,4.0,8.0,20.0,2.0,11.0,8.0,2.0,0.0,904.0,2.0,11.0,Matches,37.0,1.88,26.0,5.0,0.0,1.0,3.0,2.0,2.0,0.1,2.0,0.0,0.0,0.0,0.0,0.0,Matches,70.0,42.0,34.0,30.0,6.0,30.0,59.0,50.8,29.0,22.0,8.0,14.0,26.0,96.0,30.0,0.0,Matches,1248.0,66.0,310.0,757.0,195.0,14.0,1248.0,8.0,2.0,25.0,4.0,50.0,892.0,4287.0,1756.0,12.0,16.0,1.0,16.0,8.0,806.0,18.0,Matches,Attack,Centre-Forward
588,Douglas,br BRA,MF,Nantes,fr Ligue 1,26.0,1997.0,19.7,0.0,16.0,5.0,31.3,0.81,0.25,0.0,0.0,20.0,0.0,0.0,0.0,1.2,1.2,0.07,-1.2,-1.2,Matches,904.0,1040.0,86.9,15549.0,4365.0,396.0,439.0,90.2,390.0,431.0,90.5,82.0,118.0,69.5,0.0,1.1,1.6,-1.1,17.0,85.0,11.0,1.0,105.0,Matches,1040.0,991.0,47.0,34.0,4.0,8.0,20.0,2.0,11.0,8.0,2.0,0.0,904.0,2.0,11.0,Matches,37.0,1.88,26.0,5.0,0.0,1.0,3.0,2.0,2.0,0.1,2.0,0.0,0.0,0.0,0.0,0.0,Matches,70.0,42.0,34.0,30.0,6.0,30.0,59.0,50.8,29.0,22.0,8.0,14.0,26.0,96.0,30.0,0.0,Matches,1248.0,66.0,310.0,757.0,195.0,14.0,1248.0,8.0,2.0,25.0,4.0,50.0,892.0,4287.0,1756.0,12.0,16.0,1.0,16.0,8.0,806.0,18.0,Matches,Defender,Centre-Back
589,Douglas,br BRA,MF,Nantes,fr Ligue 1,26.0,1997.0,19.7,0.0,16.0,5.0,31.3,0.81,0.25,0.0,0.0,20.0,0.0,0.0,0.0,1.2,1.2,0.07,-1.2,-1.2,Matches,904.0,1040.0,86.9,15549.0,4365.0,396.0,439.0,90.2,390.0,431.0,90.5,82.0,118.0,69.5,0.0,1.1,1.6,-1.1,17.0,85.0,11.0,1.0,105.0,Matches,1040.0,991.0,47.0,34.0,4.0,8.0,20.0,2.0,11.0,8.0,2.0,0.0,904.0,2.0,11.0,Matches,37.0,1.88,26.0,5.0,0.0,1.0,3.0,2.0,2.0,0.1,2.0,0.0,0.0,0.0,0.0,0.0,Matches,70.0,42.0,34.0,30.0,6.0,30.0,59.0,50.8,29.0,22.0,8.0,14.0,26.0,96.0,30.0,0.0,Matches,1248.0,66.0,310.0,757.0,195.0,14.0,1248.0,8.0,2.0,25.0,4.0,50.0,892.0,4287.0,1756.0,12.0,16.0,1.0,16.0,8.0,806.0,18.0,Matches,Defender,Right-Back
590,Douglas Luiz,br BRA,MF,Aston Villa,eng Premier League,25.0,1998.0,33.3,9.0,44.0,13.0,29.5,1.32,0.39,0.11,0.38,23.3,5.0,4.0,4.0,6.9,3.8,0.09,2.1,1.2,Matches,1800.0,2101.0,85.7,31199.0,7807.0,812.0,871.0,93.2,775.0,870.0,89.1,167.0,276.0,60.5,5.0,5.4,5.3,-0.4,53.0,137.0,39.0,8.0,168.0,Matches,2101.0,1857.0,237.0,129.0,11.0,13.0,115.0,6.0,100.0,61.0,7.0,2.0,1800.0,7.0,21.0,Matches,117.0,3.52,61.0,34.0,6.0,10.0,5.0,1.0,10.0,0.3,5.0,4.0,0.0,0.0,1.0,0.0,Matches,58.0,38.0,21.0,27.0,10.0,25.0,53.0,47.2,28.0,32.0,8.0,24.0,23.0,81.0,18.0,2.0,Matches,2351.0,81.0,519.0,1256.0,598.0,38.0,2347.0,47.0,24.0,51.1,16.0,34.0,1394.0,7522.0,3562.0,60.0,48.0,4.0,33.0,31.0,1638.0,50.0,Matches,Midfield,Defensive Midfield
596,Dylan Bronn,tn TUN,"DF,MF",Salernitana,it Serie A,28.0,1995.0,0.6,0.0,1.0,0.0,0.0,1.73,0.0,0.0,,13.2,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.0,Matches,8.0,12.0,66.7,116.0,60.0,5.0,6.0,83.3,3.0,4.0,75.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,Matches,12.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,Matches,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,0.0,2.0,0.0,0.0,4.0,0.0,Matches,20.0,4.0,9.0,9.0,2.0,2.0,20.0,0.0,0.0,,0.0,,9.0,36.0,20.0,1.0,0.0,0.0,0.0,0.0,10.0,0.0,Matches,Defender,Centre-Back
598,Eberechi Eze,eng ENG,"MF,FW",Crystal Palace,eng Premier League,25.0,1998.0,22.8,11.0,82.0,33.0,40.2,3.59,1.45,0.12,0.3,20.7,12.0,1.0,1.0,9.1,8.3,0.1,1.9,1.7,Matches,700.0,909.0,77.0,11150.0,3226.0,353.0,405.0,87.2,253.0,301.0,84.1,61.0,134.0,45.5,4.0,5.2,5.6,-1.2,54.0,48.0,45.0,7.0,93.0,Matches,909.0,759.0,144.0,54.0,7.0,6.0,107.0,5.0,71.0,30.0,23.0,3.0,700.0,6.0,20.0,Matches,110.0,4.82,54.0,27.0,11.0,7.0,10.0,1.0,11.0,0.48,8.0,0.0,1.0,0.0,2.0,0.0,Matches,35.0,17.0,4.0,18.0,13.0,15.0,31.0,48.4,16.0,27.0,2.0,25.0,11.0,46.0,6.0,0.0,Matches,1274.0,11.0,121.0,522.0,658.0,103.0,1273.0,140.0,69.0,49.3,64.0,45.7,789.0,4822.0,2098.0,68.0,61.0,43.0,77.0,48.0,887.0,139.0,Matches,Attack,Attacking Midfield
